solution_id,method,total_budget,gdp_gain,inequality,emission,net_cyber_risk,NMM_I,NMM_D,NMM_AI,NMM_H,RRD_I,RRD_D,RRD_AI,RRD_H,NCC_I,NCC_D,NCC_AI,NCC_H,CH_I,CH_D,CH_AI,CH_H,SE_I,SE_D,SE_AI,SE_H,MD_I,MD_D,MD_AI,MD_H
random_258,random,48131.671948879055,45787.011572252006,2565.755656145791,2949.301767357836,-4058.9768188758767,155.78179196987972,8999.590000000004,248.14026413637075,2337.7574858586595,667.01264450921,0.0,1172.4549494039084,5721.612704695792,544.7439494061673,499.59000000000486,402.86513532485037,3679.165877727845,0.013359083330365978,11999.590000000004,0.0013453301292739215,0.2833716853451733,120.4949112555472,0.0,986.9091374168661,5078.8480547322215,143.97928162855234,3999.5900000000047,186.4892661508944,1186.758418563463
random_1133,random,49329.8729615466,45700.10295667831,1676.759308517072,4423.6574837863855,-3644.6247520600846,25.698592513159326,8999.590000000004,68.0504453117037,380.2482575656241,1253.8483690466662,0.0,466.83404811315586,5445.034982098134,402.0258842434386,499.59000000000486,1647.3992021072265,4705.719901338496,0.013628546993629646,11999.590000000004,0.002690526210982424,0.3752982697160417,100.61574629372733,0.0,398.10592658775045,5322.907761925621,1437.35317093103,3999.5900000000047,857.5821434212345,1319.6969127066957
random_1748,random,48041.186658844264,45685.18072781248,1763.2188986774527,3841.017382787775,-3490.3790450904758,3.2272380105851446,8999.590000000004,15.463343311440221,285.27082581172925,2002.9882668732373,0.0,963.4144026218302,2548.337277524947,10.160280164445226,499.59000000000486,7.614728006355122,6623.431728990166,0.05342376814162868,11999.590000000004,0.02248034675028457,0.1682710651278248,113.73532722749862,0.0,1753.2132379381303,5644.174808160598,675.7161920992793,3999.5900000000047,600.5897087395073,1295.2451181844813
random_241,random,48451.2894874847,45683.16618387568,1688.8049446498371,4212.340869886564,-3475.970895449813,11.481510454297581,8999.590000000004,10.07371047790412,195.93711725191642,2243.3426643780895,0.0,1026.4422150398834,3525.6111135570354,186.54333111915543,499.59000000000486,156.74467929991198,5453.568680174565,0.00011687548852599885,11999.590000000004,0.08478672638670078,0.08742132507370476,13.886009430097001,0.0,1262.1130794128433,5540.330260489473,828.4684781360058,3999.5900000000047,880.0642963681402,1618.1500169684077
random_34,random,47843.59871244342,45575.77610632148,2856.2771370240794,2677.994600585763,-4168.699774079749,7.687889493320267,8999.590000000004,0.698430259441469,131.44340925514456,63.18982661566764,0.0,1456.0368694241945,9832.192699087791,50.37466125717997,499.59000000000486,47.456819649185,4426.844388935087,0.05234714746076224,11999.590000000004,0.041706152669915474,0.10758985824724175,828.0858760514991,0.0,1528.600116038825,2903.835213115205,367.70441598413623,3999.5900000000047,55.95166232478067,644.9347917935586
random_4250,random,49497.640784895935,45535.68983146361,1717.060134659064,3985.777001191036,-4204.6640829169055,320.7395417241386,8999.590000000004,124.53405410177565,205.87434991320916,11.99952970667703,0.0,2.8259778407110927,8192.811236600535,1059.4781138654953,499.59000000000486,1711.793856278945,2245.3423693739874,0.014246563789411974,11999.590000000004,0.01900646575573147,0.03280017382561337,1357.0987271157312,0.0,42.694850844657786,4532.903714289743,672.8135508480685,3999.5900000000047,698.0679423500849,2820.2369168387845
random_972,random,48848.46382233646,45533.04351808849,1605.2148546895794,3403.62164530971,-4307.172352382207,54.563501593276925,8999.590000000004,13.553722454571869,31.01808020775505,124.1364234558529,0.0,246.2336023507994,6812.429419392234,1951.3420083562178,499.59000000000486,1296.6270102695253,3872.3768756058175,0.06423930544718368,11999.590000000004,0.01663900489902122,0.06965561493550171,79.6559414499204,0.0,1111.9110467136222,6717.640572873742,135.26022173768604,3999.5900000000047,186.3925741376064,716.8122878125384
random_2570,random,49426.57829855253,45501.40063181312,1515.6061630721633,5569.963566837492,-2587.0225242499146,2.21049840161157,8999.590000000004,8.6263218436355,11.929248934768548,544.8257460194911,0.0,400.4496477196423,7183.426031013925,767.7337677209882,499.59000000000486,2033.2924216938472,3915.921270240501,0.08876613874801895,11999.590000000004,0.2216564680036695,0.08809694722365924,1246.7074780964515,0.0,1140.1713712923074,3615.258756737121,923.9661944793755,3999.5900000000047,1485.6918641803634,647.6091606245038
random_3642,random,48629.323119799694,45430.70135767681,2385.354300950963,2841.5733766771937,-4718.253400433453,55.309250762604556,8999.590000000004,5.819719582699327,1759.7011155621803,1738.9391653782945,0.0,455.890770054336,2814.953751205289,791.778926235241,499.59000000000486,619.8484347430734,6739.3624678815695,0.007689754234280169,11999.590000000004,0.031131798298779018,0.09572643282043337,20.164735569300596,0.0,109.52283852278164,7014.7945128649335,185.9643432034081,3999.5900000000047,387.7646265261729,431.0139137224378
random_4711,random,47535.676406605446,45338.54103250967,2446.45769899346,2482.120910291621,-4441.585802590095,21.93672886303037,8999.590000000004,41.5955236615707,154.63366333295926,1199.5262883315968,0.0,468.11390839606844,4177.780165801549,35.159795984244674,499.59000000000486,133.6564553880376,4357.741309216792,0.13273245910431247,11999.590000000004,0.01649059036990837,0.01691663880492419,1022.9663803279342,0.0,857.624217341252,3676.3065855348623,226.34225879934425,3999.5900000000047,54.781705404779,5608.985280533126
random_1035,random,48817.164215918834,45331.70757065555,1582.8033798652552,3711.090700071997,-4017.6607374296646,1.115559333167752,8999.590000000004,1.2755854843830037,3.0612677711784473,508.7901026556724,0.0,728.4917014969549,3821.858563243298,998.8865962230867,499.59000000000486,21.712095351705997,6632.057599768519,0.035301306754661775,11999.590000000004,0.020469348641042412,0.057772967729520064,498.149892135162,0.0,713.9355192445746,6878.001647755872,764.4163733866163,3999.5900000000047,1443.0039226796932,303.9342457657981
random_4532,random,47803.97421515282,45325.81452332263,1797.3658586589197,3108.479964447071,-3879.6251547285688,53.89667503752533,8999.590000000004,80.61705702149105,192.93948720060706,1070.3357012121426,0.0,1515.4598134507407,3584.284633764043,515.5129764872712,499.59000000000486,457.19128781668223,5391.949893339562,0.010197200083200332,11999.590000000004,0.026925654751366167,0.08530557990084493,221.66652602383945,0.0,475.6726902189295,4949.375443384545,164.44209964421398,3999.5900000000047,324.8611250691097,3307.2863770473678
